ID,Stimulus,Estimated,Error,Response Time
P1,2,2,0,1.594120502
P1,1,1,0,1.943754196
P1,5,5,0,3.707192421
P1,4,4,0,1.859013796
P1,2,3,1,4.289230347
P1,3,3,0,4.366173267
P1,1,1,0,1.62477231
P1,2,2,0,2.526698112
P1,5,5,0,2.395139694
P1,4,4,0,3.354605913
P1,3,2,1,1.776889801
P1,3,3,0,2.169453859
P1,3,3,0,1.556530237
P1,4,4,0,1.58705163
P1,1,1,0,1.568276405
P1,3,3,0,2.999089241
P1,3,3,0,1.419793129
P1,2,2,0,1.62594533
P1,5,5,0,1.763963699
P1,2,2,0,1.829402685
P1,4,4,0,4.398445368
P1,5,5,0,2.163416624
P1,4,4,0,4.319650173
P1,1,1,0,1.478644848
P1,2,2,0,1.503343821
P2 ,4,4,0,7.109082222
P2,3,2,1,1.544361353
P2,4,3,1,4.09241748
P2,3,2,1,1.684785366
P2,2,1,1,1.88215661
P2,4,4,0,1.011493206
P2,5,5,0,1.147773743
P2,3,2,1,1.236481905
P2,2,1,1,1.193496943
P2,3,3,0,1.061943054
P2,4,4,0,1.228221893
P2,1,1,0,1.372139692
P2,2,2,0,0.802083969
P2,4,3,1,0.755712986
P2,1,1,0,0.805168152
P2,5,5,0,1.778288126
P2,5,5,0,1.645527124
P2,1,1,0,1.509005785
P2,2,2,0,2.031074047
P2,2,2,0,2.808686018
P2,5,5,0,1.687486887
P2,1,1,0,1.303939581
P2,5,5,0,1.440164566
P2,3,3,0,1.453828096
P2,4,4,0,1.75794816
P3,2,3,1,1.058068514
P3,2,3,1,0.915062666
P3,5,5,0,0.956020832
P3,1,1,0,1.017841578
P3,1,1,0,0.969341993
P3,5,5,0,0.965401173
P3,5,5,0,1.082268953
P3,3,3,0,0.841195345
P3,2,3,1,1.992737532
P3,3,3,0,2.278939486
P3,5,5,0,0.865410328
P3,5,5,0,0.725888014
P3,3,4,1,1.13033843
P3,5,5,0,0.845968962
P3,1,1,0,0.974142551
P3,5,5,0,0.726030588
P3,1,1,0,0.925724506
