Distance,beat_freq,bpm,Estimate_s1,Estimate2_s1,Estimate_s4,Estimate2_s4,Estimate_s5,Estimate2_s5,Estimate_s6,Estimate2_s6,Estimate_s8,Estimate2_s8,Estimate_s10,Estimate2_s10,Estimate_s11,Estimate2_s11,Estimate_s12,Estimate2_s12,Estimate_s13,Estimate2_s13,Estimate_s14,Estimate2_s14,Estimate_s15,Estimate2_s15,Estimate_s16,Estimate2_s16,Gmean
1,0.625,37.5,2,1,1,1,1,1,2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.14894238567142
2,1.25,75,5,2,2,2,1,2,7,2,3,2,2,2,3,3,3,3,2,3,3,3,2,2,3,2,2.47611970825877
3,1.875,112.5,4,4,3,3,3,3,5,3,2,3,2,2,4,4,4,6,3,3,3,4,3,3,4,4,3.30021859708267
4,2.5,150,3,3,4,4,5,4,6,5,7,3,3,3,6,5,3,7,4,4,4,6,4,4,6,7,4.39205083428576
5,3.125,187.5,6,4,5,5,5,3,6,6,6,4,4,3,5,5,5,4,5,5,5,5,5,5,6,8,4.89026092415037
6,3.75,225,4,4,6,5,3,6,7,7,7,6,3,4,8,6,7,8,6,6,5,6,6,7,6,4,5.51413311782271
7,4.375,262.5,10,5,5,8,8,6,8,8,8,6,4,4,9,8,9,5,5,8,6,7,7,9,7,7,6.74735364010365
8,5,300,3,7,8,8,6,8,10,9,8,7,4,9,7,9,7,7,7,7,7,8,8,8,5,5,6.94518674318274
9,5.625,337.5,6,5,4,6,6,9,9,7,7,8,5,13,8,8,8,4,7,10,7,10,9,13,8,5,7.23181825326743
10,6.25,375,9,8,4,6,7,7,11,10,9,8,5,10,9,12,14,11,6,7,9,9,11,8,9,9,8.35850092831679
11,6.875,412.5,7,9,8,11,16,8,12,11,5,7,10,6,11,10,9,10,5,9,10,12,12,13,8,8,9.10363837094638
12,7.5,450,6,7,7,13,9,14,11,13,8,8,8,6,8,11,12,9,10,8,8,11,10,10,8,10,9.13235561449005
13,8.125,487.5,12,8,8,8,15,10,12,12,12,9,5,8,10,12,14,12,12,11,11,13,11,15,10,13,10.6641363046053
14,8.75,525,8,11,8,12,11,15,10,16,14,14,12,12,11,11,10,14,11,13,15,14,13,11,8,15,11.8167605173062
15,9.375,562.5,7,10,9,14,16,13,15,15,13,15,10,16,13,12,15,15,14,15,14,15,15,13,15,14,13.2229349116406
16,10,600,14,14,9,15,16,14,14,14,12,13,13,16,13,15,9,14,14,15,16,16,16,16,13,16,13.8881287021776
